No,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,c1,c2,d1,e1_0,e1_1,e2_0,e2_1,e3_0,e3_1,e4_0,e4_1,e5_0,e5_1,e6_0,e6_1,e9_0,e9_1,e10_0,e10_1
20623,42.64,4.98,5.39,2.75,2.29,2.89,4.38,8.26,3.05,4.64,7.29,6.43,2.19,15,180,1,83,13,270,1,125,10,102,10,153,14,140,14,210
20624,999.99,85.56,85.56,999.99,3.11,3.19,42.77,54.22,6.75,68.39,999.99,29.93,5.09,2,235,0,110,10,353,1,165,0,86,3,129,0,140,2,210
20625,999.99,999.99,999.99,999.99,27.57,27.57,48.59,402.55,43.92,314.03,999.99,999.99,9.00,4,180,0,83,0,270,0,125,1,86,0,129,0,140,0,210
20626,999.99,201.35,201.35,999.99,39.77,39.77,23.90,32.28,15.67,33.70,47.29,39.13,17.92,2,235,0,110,2,353,0,165,0,86,0,129,0,185,0,280
20627,999.99,16.81,16.81,999.99,2.56,2.67,13.63,25.66,5.54,24.25,39.01,45.96,4.78,39,180,2,83,19,270,1,125,3,102,1,153,3,140,1,210
20628,999.99,8.41,9.86,999.99,18.06,18.62,5.01,38.74,10.42,29.33,19.19,48.83,3.54,37,235,2,110,5,353,0,165,27,86,1,129,47,185,2,280
20629,999.99,100.07,107.02,143.24,9.27,10.73,9.65,9.73,3.39,10.03,14.05,11.90,5.95,5,235,1,110,4,353,1,165,3,86,4,129,4,185,5,280
20630,999.99,996.06,996.06,999.99,3.44,3.44,92.36,53.15,7.56,68.96,999.99,34.92,20.09,1,180,0,83,5,270,0,125,0,102,1,153,0,185,2,280
20631,999.99,999.99,999.99,15.73,10.51,10.51,8.20,25.05,2.12,12.79,10.73,1.26,19.75,1,235,0,110,2,353,0,165,1,94,0,141,0,185,0,280
20633,999.99,1.73,2.00,999.99,13.09,13.09,4.32,32.99,12.14,26.01,25.29,68.67,1.43,15,180,1,83,3,270,0,125,8,102,1,153,14,140,1,210
20634,999.99,1.73,2.00,999.99,13.09,13.09,4.32,32.99,12.14,26.01,25.29,68.67,1.43,15,180,1,83,3,270,0,125,8,102,1,153,14,140,1,210
20635,999.99,696.84,696.84,999.99,13.47,13.47,71.98,344.54,9.58,337.00,999.99,73.70,9.18,9,235,0,110,5,353,0,165,3,86,2,129,8,140,5,210
20636,999.99,97.09,97.09,83.84,31.72,31.72,91.43,92.03,40.88,84.80,28.66,29.56,5.56,4,180,0,83,3,270,0,125,3,110,2,165,1,140,0,210
20637,999.99,6.51,6.51,999.99,2.35,2.35,12.63,50.26,5.93,52.98,60.19,45.75,1.42,9,235,1,110,8,353,1,165,5,102,8,153,15,140,21,210
20639,999.99,6.51,6.51,999.99,2.35,2.35,12.63,50.26,5.93,52.98,60.19,45.75,1.42,9,235,1,110,8,353,1,165,5,102,8,153,15,140,21,210
20640,999.99,6.51,6.51,999.99,2.35,2.35,12.63,50.26,5.93,52.98,60.19,45.75,1.42,9,235,1,110,8,353,1,165,5,102,8,153,15,140,21,210
20641,999.99,999.99,9918.60,10.36,10.36,12.34,84.83,76.70,2.27,12.79,54.57,8.30,18.67,1,180,0,83,9,270,0,125,0,86,1,129,0,140,1,210
20642,999.99,428.15,428.15,999.99,39.22,39.22,23.87,32.69,11.36,27.49,29.09,55.19,19.53,2,235,0,110,1,353,0,165,1,102,0,153,2,140,0,210
20643,999.99,94.37,94.37,999.99,2.50,2.51,35.15,37.64,7.72,40.59,90.14,23.27,9.48,4,180,0,83,89,270,7,125,0,86,6,129,0,185,4,280
20644,224.33,87.12,87.12,5.02,4.04,4.04,17.25,237.69,2.68,28.58,5.62,1.33,7.90,3,180,0,83,3,270,0,125,2,102,2,153,1,185,1,280
20645,999.99,102.07,102.07,12.77,6.38,6.70,44.80,48.51,6.14,36.35,31.18,47.96,6.48,3,235,0,110,2,353,0,165,2,86,1,129,0,140,0,210
20647,999.99,106.20,106.20,999.99,2.77,2.82,46.18,31.29,8.15,35.13,999.99,51.90,4.59,2,235,0,110,6,353,1,165,1,110,2,165,0,140,1,210
20648,999.99,106.20,106.20,999.99,2.77,2.82,46.18,31.29,8.15,35.13,999.99,51.90,4.59,2,235,0,110,6,353,1,165,1,110,2,165,0,140,1,210
20649,999.99,24.62,24.62,999.99,6.69,6.69,38.43,210.84,15.23,231.78,999.99,93.89,6.31,8,180,0,83,7,270,0,125,2,86,3,129,1,140,2,210
20651,999.99,1.01,1.08,999.99,1.57,1.69,3.88,9.91,4.37,9.28,9.30,9.51,1.94,39,180,2,83,40,270,3,125,5,102,5,153,5,185,5,280
20652,999.99,4.87,5.61,6.25,1.73,2.32,5.62,25.61,2.82,14.91,18.30,14.90,3.26,37,235,2,110,26,353,2,165,10,102,7,153,1,140,1,210
20653,999.99,999.99,5533.76,91.05,19.98,19.98,161.73,24.60,9.13,31.22,91.49,19.40,17.50,1,235,0,110,6,353,0,165,0,86,1,129,0,140,0,210
20654,999.99,14.63,14.87,999.99,3.06,3.10,8.68,29.75,4.72,25.87,15.01,26.86,3.51,39,235,2,110,16,353,1,165,10,86,2,129,11,140,3,210
20655,999.99,190.71,190.71,999.99,16.60,17.76,15.69,45.76,6.15,50.00,48.22,29.42,8.67,8,180,0,83,10,270,1,125,1,102,2,153,0,185,1,280
20656,999.99,22.32,23.15,999.99,9.28,9.50,8.82,23.02,6.31,20.68,15.98,20.06,4.88,18,235,1,110,9,353,0,165,2,86,1,129,7,140,3,210
20657,999.99,501.77,501.77,999.99,18.90,18.90,47.34,83.82,11.98,74.13,64.35,999.99,9.67,2,180,0,83,1,270,0,125,3,110,1,165,1,140,0,210
20658,999.99,56.00,56.00,999.99,18.90,18.90,18.27,73.18,10.46,62.50,59.49,999.99,7.29,4,235,0,110,1,353,0,165,3,94,1,141,0,140,0,210
20659,16.18,7.97,7.97,0.71,0.71,0.89,11.63,90.76,2.70,0.84,13.60,3.29,2.27,23,180,1,83,46,270,3,125,7,86,14,129,4,140,8,210
20660,5.98,3.20,3.40,4.23,2.92,3.96,6.23,18.29,5.98,13.89,10.95,10.97,1.54,23,235,1,110,16,353,1,165,10,86,6,129,1,185,1,280
20661,999.99,999.99,1712.18,11.28,11.28,11.88,51.16,32.83,3.21,14.67,29.07,9.80,11.00,1,180,0,83,1,270,0,125,5,110,18,165,1,140,4,210
20662,999.99,109.75,109.75,999.99,8.80,8.80,47.62,467.14,9.01,448.50,78.42,90.17,5.10,7,235,0,110,5,353,0,165,5,94,4,141,1,185,1,280
20663,999.99,999.99,1833.09,88.50,45.36,45.36,22.24,6.83,4.50,7.09,18.54,8.04,12.73,4,235,0,110,7,353,0,165,4,110,8,165,1,185,3,280
20665,999.99,234.58,240.60,15.06,9.12,9.49,23.78,13.57,5.40,12.68,21.77,13.92,7.14,4,180,0,83,5,270,0,125,2,86,4,129,2,140,3,210
20666,999.99,234.58,240.60,15.06,9.12,9.49,23.78,13.57,5.40,12.68,21.77,13.92,7.14,4,180,0,83,5,270,0,125,2,86,4,129,2,140,3,210
20667,4.39,3.61,3.93,24.99,7.38,7.38,5.36,44.32,14.84,47.26,6.78,42.56,1.31,46,180,3,83,1,270,0,125,4,86,0,129,4,185,0,280
20668,999.99,60.50,60.50,999.99,3.86,3.86,31.94,18.18,10.02,17.77,59.32,73.21,3.32,5,235,0,110,2,353,0,165,0,102,0,153,0,140,0,210
20669,999.99,2.16,3.73,999.99,2.40,3.37,3.47,12.01,5.76,10.73,8.60,10.37,1.43,12,180,1,83,3,270,0,125,4,102,1,153,2,140,0,210
20671,999.99,388.65,388.65,999.99,19.44,19.44,116.31,999.99,16.72,999.99,999.99,999.99,14.43,4,235,0,110,3,353,0,165,1,86,1,129,2,185,1,280
20672,999.99,272.60,272.60,999.99,4.70,4.70,69.06,511.86,13.28,584.98,999.99,50.36,12.27,2,180,0,83,2,270,0,125,3,94,10,141,0,185,1,280
20673,999.99,20.98,20.98,999.99,2.77,2.77,19.44,86.77,7.14,92.24,36.06,21.12,5.47,19,235,1,110,22,353,1,165,1,86,2,129,0,185,1,280
20674,999.99,999.99,1036.74,999.99,4.10,4.24,181.20,507.13,10.43,514.28,999.99,999.99,14.92,1,180,0,83,1,270,0,125,0,102,0,153,0,185,0,280
20675,999.99,32.01,32.01,6.33,4.16,4.47,16.02,215.70,5.23,125.90,20.60,37.82,3.49,28,180,1,83,5,270,0,125,18,86,2,129,14,140,2,210
20676,999.99,27.58,27.58,999.99,19.82,19.82,24.69,128.37,22.45,105.91,52.40,97.42,4.88,5,180,0,83,1,270,0,125,4,102,1,153,3,140,0,210
20677,999.99,5.26,5.40,6.45,1.09,1.11,13.79,154.49,6.12,93.50,48.33,55.55,1.69,34,235,1,110,31,353,1,165,3,102,4,153,2,140,2,210
20678,999.99,5.26,5.40,6.45,1.09,1.11,13.79,154.49,6.12,93.50,48.33,55.55,1.69,34,235,1,110,31,353,1,165,3,102,4,153,2,140,2,210
20679,999.99,96.40,96.40,9.40,2.79,2.79,48.19,66.18,6.26,58.77,47.45,25.05,6.00,9,235,0,110,14,353,1,165,1,86,2,129,3,140,5,210
20680,999.99,30.27,30.27,999.99,21.77,21.77,11.88,144.31,9.11,130.40,29.44,28.94,3.51,17,235,1,110,12,353,0,165,3,102,2,153,2,140,1,210
20681,999.99,465.09,465.09,999.99,14.85,14.85,50.36,24.00,11.53,26.48,62.30,33.35,8.69,2,180,0,83,4,270,0,125,1,86,1,129,0,185,1,280
20682,999.99,84.43,84.43,999.99,12.38,14.54,11.86,34.49,4.51,33.99,21.39,19.55,5.67,4,235,0,110,3,353,0,165,1,102,1,153,1,140,1,210
20683,999.99,21.22,21.22,999.99,9.57,9.57,12.19,42.79,10.19,41.51,39.42,39.95,5.98,10,180,1,83,5,270,1,125,1,86,0,129,3,140,1,210
20684,999.99,3.98,3.98,999.99,5.75,5.75,9.40,18.32,12.45,15.90,36.79,61.12,4.24,17,235,1,110,5,353,1,165,3,102,1,153,8,185,2,280
20685,999.99,46.96,46.96,999.99,5.70,5.98,28.08,67.42,10.09,74.24,54.22,37.97,6.32,9,180,0,83,10,270,0,125,6,110,8,165,2,185,2,280
20686,999.99,43.47,43.47,999.99,7.02,7.02,25.05,147.78,8.96,142.40,34.80,26.46,10.80,15,235,1,110,10,353,0,165,29,94,20,141,6,185,4,280
20687,999.99,129.75,129.75,999.99,1.61,1.70,57.69,199.27,5.11,224.80,999.99,39.83,7.51,8,180,0,83,28,270,2,125,5,110,40,165,0,140,2,210
20690,999.99,38.02,38.02,999.99,6.18,6.18,36.55,413.27,9.89,368.28,999.99,999.99,4.13,9,180,0,83,3,270,0,125,13,94,4,141,7,140,2,210
20691,999.99,169.93,169.93,999.99,42.51,42.51,16.02,22.84,8.95,23.47,26.40,20.33,7.26,4,235,0,110,4,353,0,165,4,110,4,165,1,140,1,210
20693,999.99,160.18,160.18,28.58,10.48,11.78,46.40,35.27,8.52,34.77,69.27,43.44,4.70,2,180,0,83,3,270,0,125,5,94,11,141,0,185,1,280
20695,999.99,32.74,32.74,9.71,7.25,7.50,17.80,63.00,6.31,39.13,17.62,23.43,2.52,11,235,1,110,6,353,0,165,17,110,8,165,2,185,1,280
20696,999.99,203.91,203.91,999.99,39.96,39.96,92.82,413.77,48.65,382.81,999.99,999.99,12.76,5,180,0,83,2,270,0,125,1,102,0,153,0,185,0,280
20697,999.99,40.37,44.43,8.86,2.36,3.17,8.93,6.27,3.08,5.51,22.91,16.90,6.36,12,235,1,110,18,353,1,165,3,102,6,153,4,185,7,280
20698,999.99,999.99,999.99,999.99,5.08,5.08,20.89,44.01,10.39,40.04,38.27,57.63,6.97,7,180,0,83,2,270,0,125,9,86,2,129,5,140,1,210
20699,398.18,302.75,302.75,30.01,30.01,34.19,15.59,330.57,3.61,47.55,9.47,15.26,4.04,1,235,0,110,0,353,0,165,1,86,0,129,2,140,0,210
20700,999.99,999.99,2712.45,999.99,24.07,24.07,263.15,50.16,33.80,52.37,999.99,80.27,15.20,0,180,0,83,1,270,0,125,0,86,0,129,0,185,0,280
20701,999.99,4.61,4.61,999.99,1.04,1.04,10.97,48.51,5.12,50.25,20.72,16.28,3.47,39,235,2,110,42,353,2,165,4,86,4,129,9,185,11,280
20702,999.99,4.61,4.61,999.99,1.04,1.04,10.97,48.51,5.12,50.25,20.72,16.28,3.47,39,235,2,110,42,353,2,165,4,86,4,129,9,185,11,280
20703,999.99,34.76,37.12,999.99,14.70,16.13,9.96,16.89,5.65,15.22,29.69,38.72,4.19,4,235,0,110,2,353,0,165,16,110,6,165,3,140,1,210
20704,999.99,415.99,415.99,999.99,30.53,30.53,62.89,157.88,20.85,163.48,999.99,92.10,9.08,1,180,0,83,1,270,0,125,4,110,3,165,0,140,0,210
20705,999.99,2.63,2.63,999.99,9.79,9.79,13.14,255.79,31.72,200.74,30.02,79.03,3.44,29,180,2,83,3,270,0,125,7,102,1,153,1,140,0,210
20706,999.99,999.99,2083.24,999.99,11.42,11.75,75.12,18.34,7.53,21.42,999.99,38.01,13.93,2,235,0,110,8,353,0,165,0,102,0,153,0,140,1,210
20707,999.99,160.18,160.18,28.58,10.48,11.78,46.40,35.27,8.52,34.77,69.27,43.44,4.70,2,180,0,83,3,270,0,125,5,94,11,141,0,185,1,280
20708,999.99,419.89,419.89,5.80,5.54,5.54,66.45,64.54,5.60,61.05,29.86,6.93,8.77,1,235,0,110,4,353,0,165,2,94,20,141,1,185,7,280
20709,999.99,160.18,160.18,28.58,10.48,11.78,46.40,35.27,8.52,34.77,69.27,43.44,4.70,2,180,0,83,3,270,0,125,5,94,11,141,0,185,1,280
20711,999.99,5.90,6.74,999.99,2.83,3.77,5.94,65.42,4.33,62.78,12.07,11.15,4.02,23,180,2,83,15,270,1,125,3,102,2,153,0,140,0,210
20712,999.99,999.99,9612.17,999.99,5.80,5.80,156.24,16.88,11.92,20.63,999.99,69.62,43.75,0,235,0,110,4,353,0,165,0,94,2,141,0,185,1,280
20713,999.99,69.28,69.28,999.99,81.74,81.74,36.78,108.49,97.84,77.00,999.99,999.99,4.91,6,180,0,83,0,270,0,125,6,102,0,153,2,185,0,280
20714,999.99,999.99,34603.59,999.99,25.35,25.35,173.97,105.82,6.03,103.11,999.99,999.99,56.00,1,235,0,110,0,353,0,165,1,86,0,129,0,140,0,210
20715,999.99,999.99,34603.59,999.99,25.35,25.35,173.97,105.82,6.03,103.11,999.99,999.99,56.00,1,235,0,110,0,353,0,165,1,86,0,129,0,140,0,210
20717,999.99,51.79,51.79,999.99,5.06,5.06,50.43,146.29,18.37,120.38,999.99,999.99,8.75,7,235,0,110,1,353,0,165,2,86,0,129,5,140,1,210
20718,999.99,452.17,452.17,999.99,32.62,32.62,69.02,502.32,34.56,478.40,999.99,999.99,21.58,2,180,0,83,1,270,0,125,0,102,0,153,0,185,0,280
20719,999.99,51.79,51.79,999.99,5.06,5.06,50.43,146.29,18.37,120.38,999.99,999.99,8.75,7,235,0,110,1,353,0,165,2,86,0,129,5,140,1,210
20720,999.99,999.99,2420.83,999.99,4.10,4.10,42.04,21.98,9.54,22.25,68.37,69.25,23.67,3,180,0,83,3,270,0,125,1,102,1,153,0,185,0,280
20721,999.99,37.65,39.22,999.99,12.96,13.42,15.22,232.54,8.68,224.12,26.57,23.70,3.82,10,235,1,110,7,353,1,165,0,102,0,153,0,185,0,280
20722,999.99,922.61,922.61,999.99,9.87,9.87,90.08,26.94,12.33,30.91,999.99,80.14,12.00,1,180,0,83,4,270,0,125,0,102,1,153,0,185,2,280
20724,999.99,13.65,13.65,2.12,2.12,2.51,11.66,55.91,6.31,15.08,19.68,16.98,1.91,5,235,0,110,5,353,0,165,1,86,1,129,2,140,2,210
20725,999.99,24.86,25.24,3.73,3.52,3.59,20.40,22.74,6.05,13.54,13.20,23.63,3.33,33,180,1,83,11,270,0,125,2,102,0,153,1,185,0,280
20726,999.99,136.01,150.29,7.19,7.19,11.30,7.61,7.42,2.22,5.88,8.66,2.11,13.09,4,235,0,110,7,353,0,165,3,94,9,141,1,185,3,280
20727,999.99,92.91,92.91,999.99,12.66,12.66,29.31,262.08,8.27,267.20,46.65,29.15,10.30,4,180,0,83,3,270,0,125,5,110,4,165,1,140,1,210
20728,999.99,999.99,58891.76,999.99,16.91,16.91,677.23,999.99,16.76,999.99,999.99,999.99,81.00,0,235,0,110,1,353,0,165,0,94,2,141,0,140,0,210
20729,999.99,999.99,999.99,999.99,43.41,43.41,48.38,27.75,12.40,26.64,91.79,999.99,17.08,1,235,0,110,0,353,0,165,2,102,1,153,2,140,1,210
20731,999.99,73.61,73.61,26.50,3.16,3.86,20.69,415.33,3.40,363.82,33.95,13.39,8.43,11,180,1,83,14,270,1,125,2,102,3,153,2,185,4,280
20732,999.99,6.84,7.24,999.99,23.25,24.39,8.78,43.58,13.76,33.12,39.20,68.11,3.41,18,235,1,110,7,353,0,165,18,94,5,141,2,185,1,280
20733,999.99,999.99,999.99,999.99,10.22,11.72,80.98,33.13,4.22,38.46,999.99,19.03,67.00,0,180,0,83,4,270,0,125,0,86,1,129,0,140,1,210
20734,999.99,21.83,21.83,999.99,22.29,22.29,7.51,63.52,14.74,53.32,12.87,42.55,3.32,22,180,1,83,0,270,0,125,16,94,0,141,6,140,0,210
20735,999.99,999.99,999.99,999.99,15.08,15.08,45.93,16.45,16.73,16.37,999.99,999.99,16.25,0,235,0,110,0,353,0,165,0,102,0,153,0,185,0,280
20736,999.99,999.99,999.99,999.99,3.55,3.55,7.64,25.66,6.53,21.04,15.80,33.18,5.15,4,180,0,83,0,270,0,125,2,86,0,129,3,140,0,210
20737,999.99,999.99,999.99,999.99,3.55,3.55,7.64,25.66,6.53,21.04,15.80,33.18,5.15,4,180,0,83,0,270,0,125,2,86,0,129,3,140,0,210
20738,999.99,14.02,14.02,999.99,4.62,4.62,13.64,35.86,6.89,39.18,35.37,21.74,3.86,11,235,1,110,15,353,1,165,1,102,2,153,1,140,2,210
20739,999.99,999.99,999.99,999.99,70.51,70.51,13.93,58.40,9.64,57.58,22.04,50.42,10.21,1,180,0,83,0,270,0,125,0,102,0,153,0,185,0,280
20740,999.99,999.99,999.99,999.99,999.99,999.99,47.95,17.49,10.47,19.30,999.99,999.99,81.00,0,235,0,110,0,353,0,165,0,110,0,165,0,140,0,210
20741,999.99,999.99,999.99,999.99,999.99,999.99,19.95,29.64,18.20,28.25,71.23,999.99,19.93,0,180,0,83,0,270,0,125,0,94,0,141,0,185,0,280
20742,999.99,200.00,200.00,999.99,3.04,3.55,37.59,182.86,6.69,232.52,77.27,17.37,12.53,1,235,0,110,13,353,1,165,0,86,1,129,0,140,0,210
20743,999.99,16.26,16.26,999.99,1.71,1.71,21.54,37.55,8.30,42.79,27.66,16.01,8.85,43,180,2,83,104,270,7,125,10,102,19,153,35,185,71,280
20744,999.99,28.03,28.03,999.99,5.18,6.47,8.68,70.56,3.05,68.26,29.08,19.62,7.26,8,235,0,110,6,353,0,165,1,86,1,129,1,185,1,280
20745,999.99,8.74,8.94,999.99,5.20,5.46,9.30,207.03,7.35,197.11,23.28,25.53,3.52,31,180,2,83,20,270,1,125,32,94,19,141,10,185,6,280
20746,999.99,999.99,999.99,999.99,43.41,43.41,48.38,27.75,12.40,26.64,91.79,999.99,17.08,1,235,0,110,0,353,0,165,2,102,1,153,2,140,1,210
20747,999.99,999.99,999.99,999.99,5.59,5.59,62.70,33.26,4.34,44.22,999.99,31.77,50.00,0,180,0,83,19,270,1,125,0,102,1,153,0,140,1,210
20748,999.99,999.99,999.99,999.99,999.99,999.99,44.83,421.73,23.57,491.61,79.00,58.17,11.38,5,235,0,110,10,353,1,165,1,102,2,153,1,140,3,210
20749,999.99,999.99,999.99,3.05,2.55,2.55,10.04,9.88,3.58,7.21,13.07,16.28,2.83,11,180,0,83,6,270,0,125,3,86,1,129,1,185,1,280
20750,999.99,4.59,4.81,999.99,2.96,3.21,9.45,76.00,6.40,75.48,29.84,15.07,4.37,40,235,3,110,107,353,6,165,53,86,111,129,30,140,62,210
20751,999.99,13.81,13.81,999.99,3.59,3.59,10.98,36.89,5.70,30.65,17.14,23.93,5.43,18,180,1,83,9,270,0,125,26,102,11,153,18,185,7,280
20752,999.99,439.29,439.29,999.99,15.29,15.29,29.37,16.23,9.63,16.84,79.92,51.30,16.41,4,235,0,110,4,353,0,165,1,94,2,141,0,140,0,210
20753,999.99,999.99,999.99,999.99,1.89,5.76,3.94,10.14,1.85,10.25,6.27,1.20,9.92,1,180,0,83,13,270,1,125,0,86,0,129,0,185,0,280
20754,999.99,999.99,999.99,999.99,20.44,23.45,108.85,467.14,8.16,522.37,999.99,45.08,78.67,0,235,0,110,1,353,0,165,0,94,2,141,0,185,0,280
20755,999.99,7.01,7.01,999.99,7.48,7.48,12.35,27.83,12.94,25.65,54.68,66.22,4.80,8,180,1,83,3,270,0,125,13,110,5,165,2,140,1,210
20756,999.99,8.01,8.01,999.99,0.69,0.71,26.28,101.97,7.29,141.18,73.23,16.32,5.39,29,235,2,110,296,353,15,165,66,86,391,129,52,140,310,210
20757,999.99,5.15,5.15,999.99,8.00,8.00,25.59,886.01,27.53,774.95,51.21,48.57,2.82,19,235,1,110,27,353,2,165,12,86,18,129,11,140,16,210
20758,999.99,999.99,999.99,3.27,2.80,2.80,47.82,179.52,4.94,111.08,55.25,42.59,5.71,1,180,0,83,1,270,0,125,0,86,0,129,0,140,0,210
20759,999.99,1.31,1.35,999.99,1.55,1.55,6.13,25.17,14.81,19.67,25.21,18.44,2.67,30,235,2,110,16,353,2,165,6,86,2,129,12,185,5,280
20760,999.99,324.79,324.79,999.99,9.74,9.75,77.69,239.31,25.82,221.04,999.99,999.99,11.78,3,180,0,83,0,270,0,125,1,102,0,153,0,140,0,210
20761,999.99,999.99,999.99,999.99,999.99,999.99,55.49,971.75,35.04,971.75,999.99,87.41,15.62,3,180,0,83,2,270,0,125,6,94,5,141,1,185,1,280
20762,999.99,999.99,999.99,999.99,999.99,999.99,20.27,26.89,7.61,24.41,33.19,26.39,6.63,3,235,0,110,0,353,0,165,2,102,0,153,0,185,0,280
20763,999.99,999.99,999.99,999.99,2.78,3.76,4.50,9.22,2.70,7.70,15.57,1.54,3.81,3,180,0,83,10,270,1,125,12,94,0,141,4,140,0,210
20764,999.99,999.99,999.99,999.99,999.99,999.99,124.04,187.98,14.95,194.07,999.99,94.98,30.50,1,235,0,110,1,353,0,165,1,110,1,165,0,185,0,280
20765,999.99,999.99,999.99,999.99,999.99,999.99,26.45,46.31,14.41,54.48,47.51,60.53,3.14,0,180,0,83,1,270,0,125,0,102,1,153,0,185,0,280
20766,999.99,999.99,999.99,13.65,9.50,9.50,9.98,7.53,2.81,8.98,14.86,6.35,11.00,0,235,0,110,7,353,0,165,0,102,7,153,0,185,3,280
20767,999.99,13.71,14.03,2891.89,4.58,5.07,9.25,96.88,4.57,77.18,29.10,42.59,4.09,24,235,1,110,6,353,0,165,13,102,2,153,10,185,1,280
20768,999.99,680.41,680.41,999.99,6.96,7.05,31.80,21.16,6.55,21.90,42.55,37.36,12.14,3,180,0,83,2,270,0,125,1,86,1,129,0,140,0,210
20769,999.99,86.89,86.89,999.99,41.32,41.32,8.91,13.10,7.84,11.70,35.32,50.73,7.09,3,235,0,110,1,353,0,165,13,102,3,153,22,185,5,280
20770,999.99,999.99,999.99,110.05,5.42,5.42,14.78,57.26,4.80,43.48,30.65,999.99,4.69,7,180,1,83,0,270,0,125,0,86,0,129,0,185,0,280
20771,999.99,999.99,999.99,999.99,0.85,0.85,14.92,268.25,5.02,283.01,23.62,7.95,2.61,48,235,3,110,226,353,14,165,33,102,127,153,69,140,263,210
20772,10.55,7.50,7.50,1.13,1.13,1.15,21.83,29.28,6.33,15.18,4.09,1.45,2.61,91,180,3,83,248,270,9,125,8,102,19,153,13,140,29,210
20773,999.99,999.99,999.99,999.99,5.50,5.50,32.04,114.00,5.50,145.00,82.26,59.11,7.84,7,235,0,110,10,353,1,165,4,102,12,153,3,185,8,280
20774,999.99,160.61,160.61,2.66,1.71,1.73,32.36,13.90,3.31,6.32,36.71,12.63,6.50,4,180,0,83,15,270,1,125,0,102,2,153,0,140,1,210
20775,999.99,999.99,999.99,999.99,24.96,24.96,43.26,54.42,6.99,48.67,46.37,63.68,13.58,1,235,0,110,0,353,0,165,0,102,0,153,0,140,0,210
20776,999.99,999.99,999.99,999.99,12.80,12.80,74.15,29.88,5.58,31.57,999.99,84.38,18.56,1,180,0,83,1,270,0,125,0,86,0,129,0,185,0,280
20777,999.99,999.99,999.99,999.99,999.99,999.99,39.11,229.84,24.80,185.90,68.08,999.99,9.09,8,180,0,83,0,270,0,125,1,86,0,129,0,185,0,280
20778,999.99,184.62,184.62,999.99,7.36,7.36,46.67,33.71,7.57,34.53,48.82,41.89,8.38,20,235,0,110,19,353,0,165,14,94,14,141,2,185,2,280
20779,999.99,999.99,999.99,999.99,999.99,999.99,35.16,70.34,20.20,65.97,80.70,79.04,14.92,1,180,0,83,1,270,0,125,7,94,7,141,1,185,1,280
20780,999.99,223.39,223.39,999.99,2.20,2.20,56.58,106.64,7.07,119.68,999.99,60.50,6.27,1,235,0,110,8,353,0,165,19,110,68,165,4,140,15,210
20782,999.99,999.99,999.99,999.99,8.95,8.95,100.82,23.40,12.79,26.48,999.99,55.33,20.83,0,235,0,110,7,353,1,165,0,102,0,153,0,140,0,210
20783,999.99,11.03,11.27,999.99,10.81,10.81,9.27,14.74,11.97,12.62,20.62,40.53,2.77,21,180,1,83,5,270,0,125,2,102,0,153,2,185,0,280
20784,999.99,999.99,999.99,41.52,9.41,9.41,292.06,629.11,5.37,537.12,999.99,999.99,43.25,0,235,0,110,0,353,0,165,0,110,0,165,0,140,0,210
20785,999.99,999.99,999.99,999.99,63.44,63.44,140.44,108.78,32.31,96.47,999.99,999.99,16.67,1,180,0,83,1,270,0,125,19,94,24,141,6,185,7,280
20786,999.99,271.19,271.19,999.99,18.72,18.72,89.10,439.47,26.39,498.73,999.99,999.99,15.69,3,235,0,110,5,353,0,165,1,86,1,129,1,140,1,210
20787,999.99,999.99,999.99,999.99,999.99,999.99,17.70,224.35,12.13,224.35,31.30,26.72,9.79,2,235,0,110,1,353,0,165,1,110,1,165,0,140,0,210
20788,999.99,999.99,999.99,999.99,999.99,999.99,120.28,54.16,15.03,65.76,999.99,94.45,250.00,0,180,0,83,1,270,0,125,0,94,1,141,0,185,0,280
20789,999.99,999.99,999.99,999.99,999.99,999.99,114.79,497.84,17.88,335.23,999.99,999.99,16.55,1,235,0,110,0,353,0,165,1,102,0,153,0,185,0,280
20790,999.99,999.99,999.99,999.99,999.99,999.99,64.34,68.42,15.67,62.13,999.99,34.50,31.50,1,180,0,83,0,270,0,125,1,86,0,129,0,185,0,280
20791,999.99,105.78,105.78,999.99,24.80,24.80,28.27,56.72,19.31,54.94,47.29,43.80,9.48,4,180,0,83,2,270,0,125,0,102,0,153,0,185,0,280
20792,999.99,91.41,91.41,999.99,22.03,24.71,12.82,100.09,7.65,81.21,49.16,10.43,9.18,4,235,0,110,1,353,0,165,1,86,0,129,0,140,0,210
20793,999.99,68.37,68.37,999.99,10.92,10.92,37.60,84.42,11.88,69.52,37.67,59.60,5.75,4,180,0,83,2,270,0,125,5,86,2,129,3,140,1,210
20794,999.99,30.53,30.53,4.38,2.39,2.39,40.08,198.56,11.19,137.49,26.66,13.01,2.54,9,235,1,110,17,353,2,165,43,94,80,141,16,185,30,280
20795,999.99,999.99,999.99,999.99,3.94,3.94,180.69,55.22,9.28,56.34,999.99,999.99,93.00,0,235,0,110,1,353,0,165,0,102,0,153,0,140,0,210
20796,999.99,999.99,999.99,999.99,5.06,5.06,30.43,19.70,10.72,17.54,52.88,80.66,11.68,6,180,0,83,0,270,0,125,7,86,0,129,3,185,0,280
